circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_28132	chr16:48587449-48596355|-	chr16:48553538-48562444|-	N4BP1	8906	NM_153029	1822	2	131,1691	0,7215	normal brain tissue	26873924
hsa_circ_28178	chr7:45077851-45104245|+	chr7:45038252-45064646|+	CCM2	26394	NM_001167935	442	3	174,84,184	0,25665,26210	H9 hESCs	25242744
hsa_circ_28299	chr8:99718694-99761618|-	chr8:98706466-98749390|-	STK3	42924	NM_006281	448	3	168,165,115	0,680,42809	oligodendroma	26873924
hsa_circ_28320	chr13:77791974-77818086|-	chr13:77217839-77243951|-	MYCBP2	26112	NM_015057	676	6	118,82,120,108,102,146	0,6611,7595,15316,25219,25966	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_28416	chr10:103699619-103717489|-	chr10:101939862-101957732|-	C10orf76	17870	NM_024541	286	3	76,127,83	0,16734,17787	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_28462	chr1:211952259-211966532|-	chr1:211778917-211793190|-	LPGAT1	14273	NM_014873	616	4	127,274,96,119	0,4311,8714,14154	normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	26873924,23249747,22319583
hsa_circ_28549	chr2:48725631-48738607|+	chr2:48498492-48511468|+	PPP1R21	12976	NM_001135629	621	5	243,33,117,99,129	0,7071,8776,11522,12847	normal brain tissue,Hs68	26873924,23249747
hsa_circ_28629	chr9:138741982-138758382|-	chr9:135850136-135866536|-	CAMSAP1	16400	NM_015447	460	4	97,140,142,81	0,185,12330,16319	normal brain tissue	26873924
hsa_circ_28656	chr15:74963795-74967483|-	chr15:74671454-74675142|-	EDC3	3688	NM_001142444	502	2	320,182	0,3506	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_28683	chr2:64778576-64780543|+	chr2:64551442-64553409|+	AFTPH	1967	NM_001002243	1967	1	1967	0	H9 hESCs,cd_19	25242744,23446348
hsa_circ_28693	chr9:36197547-36204176|+	chr9:36197550-36204179|+	CLTA	6629	NM_007096	268	3	38,118,112	0,1428,6517	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_28697	chr3:145838898-145842016|-	chr3:146121111-146124229|-	PLOD2	3118	NM_182943	229	2	137,92	0,3026	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_28780	chr14:31596990-31641328|-	chr14:31127784-31172122|-	HECTD1	44338	NM_015382	3825	20	222,837,177,167,324,140,135,106,95,147,135,77,264,223,171,139,175,115,99,77	0,827,5453,5724,7087,7691,8746,12107,14073,16326,17022,20936,21112,22214,29055,29380,40513,41569,44076,44261	normal brain tissue,oligodendroma	26873924
hsa_circ_28805	chr20:17928129-17932239|-	chr20:17947485-17951595|-	SNX5	4110	NM_014426	565	6	160,87,40,76,106,96	0,1404,1578,2646,2805,4014	H9 hESCs	25242744
hsa_circ_28863	chr18:12999419-13008630|+	chr18:12999420-13008631|+	CEP192	9211	NM_032142	470	3	168,126,176	0,2036,9035	normal brain tissue,glioblastoma,oligodendroma,cd_34,Hs68	26873924,23446348,23249747
hsa_circ_28893	chr3:67546221-67571058|-	chr3:67495797-67520634|-	SUCLG2	24837	NM_003848	645	5	143,162,97,90,153	0,2336,13009,22449,24684	glioblastoma,Hs68	26873924,23249747
hsa_circ_28941	chr2:71623270-71645769|+	chr2:71396140-71418639|+	ZNF638	22499	NM_001252613	922	11	51,72,87,69,41,132,129,42,135,126,38	0,2560,3418,3971,4337,5815,7729,9460,9987,11981,22461	normal brain tissue,glioblastoma	26873924
hsa_circ_28980	chr7:77394811-77402631|+	chr7:77765494-77773314|+	RSBN1L	7820	NM_198467	449	3	138,143,168	0,3166,7652	normal brain tissue,glioblastoma,oligodendroma,leukemia,leukocyte	26873924,22319583
hsa_circ_29080	chr1:67423741-67428843|+	chr1:66958058-66963160|+	MIER1	5102	NM_001146113	433	4	162,133,65,73	0,792,1620,5029	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_29147	chr6:131276244-131277639|-	chr6:130955104-130956499|-	EPB41L2	1395	NM_001199388	719	2	213,506	0,889	normal brain tissue,glioblastoma,oligodendroma,cd_19	26873924,23446348
hsa_circ_29149	chr14:39782543-39796226|+	chr14:39313339-39327022|+	CTAGE5	13683	NM_203356	638	7	102,61,36,68,83,129,159	0,1399,2343,4604,5869,7588,13524	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_29157	chr20:35288739-35299800|-	chr20:36660336-36671397|-	NDRG3	11061	NM_032013	327	5	48,52,66,104,57	0,4709,4899,5952,11004	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_29177	chr11:44129232-44193292|+	chr11:44107682-44171742|+	EXT2	64060	NM_001178083	1365	8	566,90,117,196,140,94,93,69	0,1511,6502,17106,19133,22362,36564,63991	glioblastoma,Hs68	26873924,23249747
hsa_circ_29205	chr7:99654533-99655513|+	chr7:100056910-100057890|+	ZSCAN21	980	NM_145914	688	2	495,193	0,787	H9 hESCs	25242744
hsa_circ_29230	chr10:98303832-98325183|-	chr10:96544075-96565426|-	TM9SF3	21351	NM_020123	887	7	131,95,167,132,78,161,123	0,3819,7169,8852,15583,17902,21228	normal brain tissue,Hs68	26873924,23249747
hsa_circ_29312	chr1:91403041-91447927|-	chr1:90937484-90982370|-	ZNF644	44886	NM_201269	3705	3	606,3038,61	0,787,44825	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_29318	chr5:68470703-68471364|+	chr5:69174876-69175537|+	CCNB1	661	NM_031966	378	2	237,141	0,520	H9 hESCs,cd_19,Hs68,leukemia,leukocyte	25242744,23446348,23249747,22319583
hsa_circ_29355	chr2:234358627-234360706|+	chr2:233449981-233452060|+	DGKD	2079	NM_003648	376	3	150,129,97	0,940,1982	cd_34,Hs68	23446348,23249747
hsa_circ_29357	chr19:4702038-4705982|-	chr19:4702026-4705970|-	DPP9	3944	NM_139159	699	5	129,114,169,174,113	0,576,1859,2104,3831	H9 hESCs	25242744
hsa_circ_29361	chr10:128768965-128798571|+	chr10:126970701-127000307|+	DOCK1	29606	NM_001380	939	9	84,41,56,97,149,136,158,82,136	0,7246,11216,16819,19753,26046,27390,28652,29470	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_29380	chr10:93841076-93851701|-	chr10:92081319-92091944|-	CPEB3	10625	NM_001178137	297	2	182,115	0,10510	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_29413	chr10:133784141-133787447|-	chr10:131970637-131973943|-	BNIP3	3306	NM_004052	493	4	150,107,85,151	0,226,2396,3155	normal brain tissue,Hs68,leukemia	26873924,23249747,22319583
hsa_circ_29422	chr10:126631025-126631876|+	chr10:124942456-124943307|+	ZRANB1	851	NM_017580	851	1	851	0	H9 hESCs,HEK293,cd_19,cd_34,neutr,Hs68	25242744,23446348,23249747
hsa_circ_29431	chr20:42331129-42331543|+	chr20:43702489-43702903|+	MYBL2	414	NM_002466	414	1	414	0	H9 hESCs	25242744
hsa_circ_29465	chr16:68155889-68157024|+	chr16:68121986-68123121|+	NFATC3	1135	NM_173163	1135	1	1135	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_29497	chr9:35295692-35313986|+	chr9:35295695-35313989|+	UNC13B	18294	NM_006377	641	3	235,315,91	0,14771,18203	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_29509	chr1:214625147-214638300|-	chr1:214451804-214464957|-	PTPN14	13153	NM_005401	498	2	170,328	0,12825	H9 hESCs,Hs68	25242744,23249747
hsa_circ_29585	chr1:62907158-62907970|+	chr1:62441487-62442299|+	USP1	812	NM_001017415	226	2	121,105	0,707	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_29846	chr2:173433468-173460751|+	chr2:172568740-172596023|+	PDK1	27283	NM_002610	596	5	77,99,111,114,195	0,1985,17537,24194,27088	H9 hESCs	25242744
hsa_circ_29862	chr7:64004084-64004810|-	chr7:64543706-64544432|-	ZNF680	726	NM_001130022	223	2	96,127	0,599	H9 hESCs,Hs68	25242744,23249747
hsa_circ_29889	chr2:202625603-202626541|-	chr2:201760880-201761818|-	ALS2	938	NM_001135745	938	1	938	0	H9 hESCs,cd_19,cd_34,Hs68	25242744,23446348,23249747
hsa_circ_29907	chr18:7949178-7955412|+	chr18:7949180-7955414|+	PTPRM	6234	NM_002845	469	2	175,294	0,5940	Hs68	23249747
hsa_circ_29940	chr7:156549086-156619438|-	chr7:156756392-156826744|-	LMBR1	70352	NM_022458	578	6	73,65,69,127,104,140	0,5741,6715,7276,39996,70212	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_29970	chr19:11022859-11027453|+	chr19:10912183-10916777|+	CARM1	4594	NM_199141	462	4	111,178,91,82	0,1693,4223,4512	H9 hESCs	25242744
hsa_circ_30041	chr2:84652538-84676876|-	chr2:84425414-84449752|-	SUCLG1	24338	NM_003849	917	7	189,152,84,58,213,117,104	0,6093,7937,15632,15832,17869,24234	leukocyte	22319583
hsa_circ_30080	chr22:24698162-24734445|+	chr22:24302194-24338477|+	SPECC1L	36283	NM_001145468	2689	8	190,154,1631,208,74,176,164,92	0,11118,19093,22025,26651,28061,32215,36191	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_30155	chr2:148730307-148739650|-	chr2:147972738-147982081|-	ORC4	9343	NM_001190879	396	4	91,77,74,154	0,709,3163,9189	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_30240	chr1:12460237-12476880|+	chr1:12400180-12416827|+	VPS13D	16643	NM_018156	699	5	150,97,149,135,168	0,1423,3640,14902,16475	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_30291	chr20:34243123-34246936|-	chr20:35655201-35659014|-	CPNE1	3813	uc002xdn.1	228	2	143,85	0,3728	H9 hESCs	25242744
hsa_circ_30425	chr17:35936438-35945538|-	chr17:37576340-37585430|-	SYNRG	9100	NM_007247	530	4	78,234,112,106	0,1039,8317,8994	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_30516	chr5:179195850-179198244|+	chr5:179768849-179771243|+	MAML1	2394	NM_014757	337	2	240,97	0,2297	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_30656	chr19:5039846-5047680|+	chr19:5039835-5047669|+	KDM4B	7834	NM_015015	485	3	176,115,194	0,1301,7640	H9 hESCs,normal brain tissue,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_30735	chr4:129752887-129789128|+	chr4:128831732-128867973|+	PHF17	36241	NM_199320	1647	9	78,86,158,188,212,168,117,522,118	0,11220,14642,17247,20324,23897,25605,29971,36123	H9 hESCs	25242744
hsa_circ_31060	chr20:42331129-42333998|+	chr20:43702489-43705358|+	MYBL2	2869	NM_002466	554	2	414,140	0,2729	H9 hESCs,glioblastoma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_31183	chr20:35812582-35812776|+	chr20:37184179-37184373|+	RPN2	194	NM_001135771	194	1	194	0	H9 hESCs,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_31214	chr6:76368977-76388643|+	chr6:75659261-75678927|+	SENP6	19666	NM_001100409	1525	9	146,298,230,168,34,195,227,110,117	0,3959,7450,11291,16173,16598,17768,19321,19549	normal brain tissue	26873924
hsa_circ_31220	chr10:52193235-52226692|-	chr10:50433475-50466932|-	SGMS1	33457	NM_147156	266	3	81,142,43	0,27197,33414	H9 hESCs	25242744
hsa_circ_31260	chr3:123649948-123667979|-	chr3:123931101-123949132|-	CCDC14	18031	NM_022757	1426	7	133,219,83,142,517,95,237	0,206,2571,13747,15701,17589,17794	H9 hESCs,normal brain tissue,glioblastoma	25242744,26873924
hsa_circ_31331	chr1:5987708-5993389|-	chr1:5927648-5933329|-	NPHP4	5681	NM_015102	322	2	139,183	0,5498	normal brain tissue,Hs68	26873924,23249747
hsa_circ_31338	chr6:7602855-7606428|+	chr6:7602622-7606195|+	SNRNP48	3573	NM_152551	376	3	122,89,165	0,2775,3408	cd_19,leukemia,leukocyte	23446348,22319583
hsa_circ_31394	chr1:9991948-9994918|-	chr1:9931890-9934860|-	LZIC	2970	NM_032368	277	3	82,96,99	0,912,2871	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_34	25242744,26873924,23446348
hsa_circ_31531	chr1:35824525-35827390|+	chr1:35358924-35361789|+	ZMYM4	2865	NM_005095	755	3	522,62,171	0,2269,2694	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_31548	chr7:127344892-127361454|+	chr7:127704838-127721400|+	SND1	16562	NM_014390	312	3	107,91,114	0,2718,16448	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_31556	chr6:592468-599225|-	chr6:592468-599225|-	EXOC2	6757	NM_018303	450	4	119,103,82,146	0,5552,6391,6611	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_31723	chrX:128674720-128722240|+	chrX:129540743-129588263|+	OCRL	47520	NM_000276	2302	20	80,80,39,111,90,121,162,102,115,117,188,112,110,136,111,166,236,24,117,85	0,4214,7819,16581,17117,17889,18096,19806,20435,21640,21855,25028,26510,28520,34396,35153,35573,43600,46258,47435	normal brain tissue	26873924
hsa_circ_31769	chr5:145197456-145205763|-	chr5:145817893-145826200|-	PRELID2	8307	NM_138492	496	4	161,74,58,203	0,2051,5183,8104	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_31771	chr1:31532050-31532424|-	chr1:31059203-31059577|-	PUM1	374	NM_014676	374	1	374	0	H9 hESCs,normal brain tissue,glioblastoma,HEK293,cd_34	25242744,26873924,23446348
hsa_circ_31809	chr9:95030455-95032265|-	chr9:92268173-92269983|-	IARS	1810	NM_013417	226	2	127,99	0,1711	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_31868	chr10:13705452-13717044|-	chr10:13663452-13675044|-	FRMD4A	11592	NM_018027	543	4	57,229,123,134	0,2644,6953,11458	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_31928	chr5:167986036-167993271|-	chr5:168559031-168566266|-	PANK3	7235	NM_024594	681	4	126,124,177,254	0,2361,4857,6981	H9 hESCs	25242744
hsa_circ_31942	chr16:57197912-57207781|-	chr16:57164000-57173869|-	FAM192A	9869	NM_024946	562	5	65,134,122,99,142	0,3092,8250,8775,9727	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_31977	chr1:33413822-33415375|-	chr1:32948221-32949774|-	RNF19B	1553	NM_153341	351	2	145,206	0,1347	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_32002	chr7:131060182-131084192|+	chr7:131375423-131399433|+	MKLN1	24010	NM_013255	605	5	70,143,89,110,193	0,11696,13460,21843,23817	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_32214	chr4:87614739-87622954|+	chr4:86693586-86701801|+	PTPN13	8215	NM_080683	649	2	88,561	0,7654	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_32273	chr2:61014081-61019424|+	chr2:60786946-60792289|+	PAPOLG	5343	NM_022894	513	4	120,110,122,161	0,564,4814,5182	glioblastoma	26873924
hsa_circ_32285	chr3:149563797-149629870|+	chr3:149846010-149912083|+	RNF13	66073	NM_007282	622	6	130,81,126,88,91,106	0,6505,26018,49462,56061,65967	H9 hESCs,Hs68	25242744,23249747
hsa_circ_32340	chr11:70505932-70507783|-	chr11:70659827-70661678|-	SHANK2	1851	NM_012309	208	2	125,83	0,1768	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_32373	chr2:120885263-120932580|+	chr2:120127687-120175004|+	EPB41L5	47317	NM_020909	962	9	164,98,129,65,94,75,42,131,164	0,3930,15315,18537,33193,37148,39778,40189,47153	Hs68	23249747
hsa_circ_32392	chr8:41832221-41845081|-	chr8:41974703-41987563|-	KAT6A	12860	NM_001099412	882	6	119,320,136,82,116,109	0,2304,3938,6142,7135,12751	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_32430	chr3:56661064-56662642|-	chr3:56627036-56628614|-	FAM208A	1578	NM_001112736	392	3	109,160,123	0,545,1455	glioblastoma,cd_19,neutr	26873924,23446348
hsa_circ_32446	chr5:36953719-36986403|+	chr5:36953617-36986301|+	NIPBL	32684	NM_133433	3200	9	143,166,128,100,152,161,97,627,1626	0,1854,4486,7866,8505,17258,18327,22158,31058	normal brain tissue	26873924
hsa_circ_32463	chr7:50737418-50771605|-	chr7:50669721-50703908|-	GRB10	34187	NM_001001549	453	3	142,223,88	0,4714,34099	H9 hESCs,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_32505	chr1:155447676-155452240|-	chr1:155477885-155482449|-	ASH1L	4564	NM_018489	4564	1	4564	0	normal brain tissue	26873924
hsa_circ_32555	chr22:42204878-42206295|+	chr22:41808874-41810291|+	CCDC134	1417	NM_024821	326	3	119,122,85	0,1004,1332	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,cd_34,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_32594	chr11:18305341-18307006|-	chr11:18283794-18285459|-	HPS5	1665	NM_181508	221	2	107,114	0,1551	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_32662	chr16:69404385-69406258|-	chr16:69370482-69372355|-	TERF2	1873	NM_005652	234	2	147,87	0,1786	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_32713	chr22:22160138-22162135|-	chr22:21805849-21807846|-	MAPK1	1997	NM_002745	373	2	190,183	0,1814	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_32802	chr13:114149816-114157903|+	chr13:113495501-113503588|+	TMCO3	8087	NM_017905	1118	5	524,180,192,129,93	0,2840,4456,6250,7994	H9 hESCs	25242744
hsa_circ_32829	chr3:196612021-196613565|+	chr3:196885150-196886694|+	SENP5	1544	NM_152699	1544	1	1544	0	H9 hESCs,leukemia	25242744,22319583
hsa_circ_32867	chr12:122861935-122865105|-	chr12:122377388-122380558|-	CLIP1	3170	NM_001247997	763	2	572,191	0,2979	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_32908	chr2:231222519-231226412|+	chr2:230357804-230361697|+	SP140L	3893	NM_138402	416	3	163,169,84	0,1159,3809	glioblastoma,Hs68,leukemia	26873924,23249747,22319583
